userId,movieId,rating
1,17,4
1,25,4
1,6,3
1,30,4
1,4,3
1,21,4
1,10,4
1,29,3
1,27,4
1,20,3
1,7,3
1,5,3
2,25,4
2,6,3
2,18,2
2,30,3
2,17,2
2,1,3
2,20,4
2,11,2
2,16,4
2,27,3
2,4,3
2,12,3
2,10,3
3,2,4
3,8,2
3,19,5
3,3,3
3,27,3
3,24,5
3,16,4
3,26,3
3,18,2
3,5,5
3,21,2
4,16,4
4,18,2
4,6,3
4,9,4
4,17,3
4,20,3
4,14,3
4,7,3
4,29,3
4,23,4
4,10,3
4,13,4
4,12,3
4,15,2
4,26,4
4,2,4
4,4,3
4,24,3
5,11,4
5,1,4
5,19,2
5,18,3
5,8,4
5,28,4
5,26,3
5,29,3
5,3,2
6,2,2
6,8,3
6,3,4
6,30,3
6,11,5
6,28,3
6,17,3
6,29,3
6,9,5
6,16,3
6,7,4
6,18,1
6,5,3
6,21,4
6,23,3
6,13,3
6,24,2
6,15,4
7,7,3
7,4,4
7,29,4
7,22,3
7,14,3
7,12,4
7,26,4
7,24,3
7,15,3
7,2,4
7,28,5
7,21,3
7,13,3
7,11,4
8,8,3
8,7,4
8,29,3
8,18,4
8,15,4
8,5,3
8,14,3
8,6,4
8,9,3
9,8,4
9,28,3
9,3,4
9,15,4
9,26,3
9,18,3
9,4,2
9,2,3
9,21,4
9,25,5
9,1,3
9,29,3
9,30,3
9,6,2
9,14,4
10,16,3
10,7,3
10,28,2
10,13,5
10,2,3
10,6,3
10,27,5
10,1,2
10,24,4
10,9,3
10,15,4
10,10,2
10,14,3
10,30,2
10,5,4
11,10,2
11,7,4
11,2,4
11,19,4
11,24,5
11,18,2
11,28,4
11,11,5
11,26,3
11,22,3
11,27,3
12,17,3
12,28,3
12,30,2
12,6,5
12,2,3
12,29,3
12,3,4
12,27,3
12,24,3
12,20,3
12,22,3
12,8,5
12,13,3
12,4,2
12,19,3
13,20,4
13,2,3
13,30,4
13,3,4
13,14,4
13,22,4
13,19,3
13,24,4
13,17,3
13,11,3
13,9,4
13,7,3
13,21,4
13,8,3
13,28,3
13,23,5
13,27,4
14,21,5
14,10,3
14,15,5
14,11,3
14,25,4
14,3,4
14,1,4
14,28,3
14,20,5
14,19,3
14,4,3
14,26,2
14,18,2
14,7,3
14,9,4
14,30,3
14,6,2
14,2,3
15,12,3
15,10,4
15,6,3
15,15,4
15,18,2
15,23,3
15,29,3
15,20,4
15,21,4
15,17,2
15,1,2
16,27,5
16,18,3
16,10,3
16,22,5
16,4,3
16,5,5
16,9,4
16,26,3
16,23,3
16,29,3
16,25,4
16,24,3
16,28,3
16,7,3
16,11,4
16,30,2
16,16,3
16,14,2
17,17,4
17,16,4
17,9,3
17,2,4
17,3,3
17,21,3
17,14,3
17,28,3
17,27,4
17,1,3
17,11,4
17,5,5
18,9,3
18,6,3
18,24,4
18,15,5
18,18,3
18,23,4
18,14,3
18,26,4
18,1,2
18,4,4
18,3,3
18,5,4
18,25,4
18,2,4
18,12,2
18,10,4
18,30,4
18,20,4
19,5,2
19,2,3
19,10,4
19,12,3
19,26,4
19,29,3
19,27,2
19,7,4
19,22,1
19,8,4
19,4,3
19,24,2
19,18,5
19,14,2
20,24,3
20,5,4
20,8,5
20,6,3
20,26,5
20,27,3
20,14,2
20,1,4
20,25,3
20,11,3
20,30,3
20,28,4
20,9,3
20,22,3
20,4,4
20,7,3
20,20,5
21,28,3
21,16,3
21,8,5
21,7,4
21,15,3
21,12,4
21,10,3
21,30,3
22,1,4
22,22,3
22,7,3
22,13,4
22,11,5
22,9,5
22,3,3
22,25,4
22,12,4
22,21,5
22,17,3
23,22,4
23,27,3
23,18,4
23,11,4
23,1,3
23,4,3
23,9,4
23,6,4
23,19,3
23,24,3
23,2,4
23,25,5
23,14,3
23,12,4
24,14,3
24,20,3
24,17,4
24,4,3
24,13,4
24,19,4
24,7,2
24,9,2
24,2,4
24,30,3
24,1,3
24,28,3
24,18,3
25,24,2
25,30,3
25,29,4
25,22,4
25,7,3
25,12,3
25,14,3
25,3,3
25,27,4
25,11,3
25,20,4
25,21,3
25,4,3
25,10,3
25,17,3
25,19,2
25,26,2
25,6,3
